# Data format: "%float(LinearAccelX),%float(LinearAccelY),%float(LinearAccelZ)"
0.00261,-0.04167,-0.02217
-0.01216,-0.05197,0.00420
-0.02375,-0.04322,-0.00989
-0.00755,-0.04075,-0.00686
-0.04378,-0.02765,-0.00546
-0.01812,-0.00278,-0.02252
-0.04288,0.01409,0.01306
-0.01940,-0.00413,0.01876
-0.04005,0.01940,-0.00033
-0.01007,0.02681,-0.00941
-0.02927,0.03679,0.00203
-0.05455,0.05584,0.01372
-0.12952,0.02835,0.06089
-0.10755,-0.00754,0.05809
-0.03419,0.04569,0.06288
-0.09276,0.02965,0.04091
-0.13606,-0.08036,0.03192
-0.11244,-0.12341,0.00743
-0.08001,-0.06114,0.05126
-0.00155,0.06264,0.06802
-0.03283,0.01067,0.05405
-0.02167,-0.00126,-0.00782
-0.01877,0.08083,-0.00813
-0.00148,0.09603,-0.04370
-0.02832,0.06886,-0.02281
-0.00717,0.09499,-0.00876
-0.02558,0.11300,-0.01786
-0.01343,0.09190,-0.01747
-0.03813,0.10640,0.01965
-0.01319,0.11383,0.01551
-0.04215,0.06046,0.04303
-0.05790,0.03986,0.02719
-0.04724,0.03016,0.01881
-0.08058,0.01798,0.04528
-0.07266,0.00870,0.04210
-0.07207,0.03184,0.03638
-0.06296,0.01303,0.01499
-0.07276,-0.00961,0.02272
-0.03047,-0.00941,0.00072
-0.04211,-0.00282,0.00232
-0.04887,0.01801,0.00096
-0.00980,0.01833,-0.01930
-0.04971,0.00381,0.01063
-0.03979,-0.00870,-0.00171
-0.06641,0.01673,0.01326
-0.06180,0.00234,0.02509
-0.06361,-0.01816,0.01660
-0.05928,-0.03011,0.01115
-0.08135,0.00025,-0.00834
-0.06916,0.00332,0.01256
-0.07670,0.01235,-0.00233
-0.04757,0.01501,0.04630
-0.07146,0.02712,0.00055
-0.06761,0.00137,0.02310
-0.06794,-0.01551,0.03806
-0.06941,-0.03333,0.01895
-0.04876,0.00074,0.02137
-0.04684,-0.07857,0.02381
-0.05112,-0.05129,0.03175
-0.03072,-0.09460,0.00877
-0.04256,-0.07912,-0.00285
-0.00921,-0.09633,0.00076
0.00329,-0.06579,-0.03005
0.00118,-0.05609,-0.01025
0.03649,-0.05017,-0.00845
0.00658,-0.07135,-0.02023
0.04065,-0.06855,-0.02411
0.01693,-0.07205,-0.01846
-0.01937,-0.08092,-0.03626
0.00309,-0.06745,-0.01149
-0.01069,-0.07032,-0.05472
0.01042,-0.10434,-0.04486
0.04074,-0.03036,-0.03518
0.04655,-0.04876,-0.04048
0.06469,-0.03952,-0.06366
0.08247,0.00760,-0.09906
0.08386,-0.04262,-0.09862
0.11118,-0.03152,-0.12754
0.11483,-0.01658,-0.11240
0.10311,-0.00043,-0.10440
0.10979,-0.03898,-0.09603
0.11210,-0.02808,-0.11842
0.08440,-0.06433,-0.13596
0.09262,-0.04419,-0.13011
0.07249,-0.03297,-0.11269
0.09227,-0.02266,-0.10450
0.07457,-0.01273,-0.12055
