# Data format: "%float(LinearAccelX),%float(LinearAccelY),%float(LinearAccelZ)"
0.13830,14.55539,4.67000
0.18561,14.62677,4.81580
-0.29865,14.82371,4.84446
-0.10170,14.18390,4.66829
-0.06625,14.94309,4.87390
0.14301,14.63495,4.79286
-0.10958,14.08969,5.27281
-0.21138,14.61953,4.81793
-0.13459,14.74304,4.92860
-0.29997,14.25928,4.95760
0.00288,14.71983,4.66593
-0.32590,14.08280,5.15012
-0.10059,14.90645,5.13126
-0.22961,14.60049,4.63634
-0.20871,14.88716,5.01238
-0.13990,14.72694,5.03552
-0.12335,14.51062,5.13585
-0.44965,15.00247,5.39365
0.11222,14.22112,4.28523
-0.38052,14.62096,4.60984
0.00765,14.83110,4.90372
-0.15688,13.98709,5.01058
-0.19702,14.26265,5.18292
0.50859,14.32306,4.62936
-0.11330,14.54340,4.92013
0.10610,14.26789,4.62387
0.00965,14.67490,4.94656
-0.36019,14.48408,4.83333
0.16851,14.38825,4.44676
0.00276,13.96760,4.70664
0.16176,14.76373,4.59208
0.29853,14.83497,4.67656
-0.11832,14.27549,4.72650
0.23026,14.27453,4.80949
-0.54791,14.66957,4.41159
0.04861,14.07034,4.96851
-0.29114,14.55921,4.93767
-0.30344,14.13280,4.49646
0.13419,14.58692,4.78567
0.02045,14.58278,4.89000
-0.00605,14.60855,4.42817
-0.06951,14.58280,4.95176
0.13398,14.58701,4.78538
0.01271,14.33080,4.91732
0.21097,14.25547,4.62800
0.15631,14.95157,4.66445
-0.08042,14.42400,4.70500
-0.30482,14.22803,4.84091
0.17055,14.49975,4.68393
0.11509,14.36594,5.25755
0.02265,14.36418,4.69965
0.15758,14.23156,4.81855
0.12948,14.77556,4.85540
-0.07351,14.47451,5.32984
-0.19494,14.38906,4.69136
-0.20813,14.48114,4.74808
-0.03908,14.51191,5.06996
-0.12345,14.43344,4.67784
0.15178,14.18454,4.80805
-0.33820,14.49174,5.40500
-0.30859,14.41742,4.90833
-0.07631,14.56864,5.05272
0.33594,14.68826,4.95789
0.18588,14.31682,4.89404
0.04045,14.32197,4.64425
-0.03924,14.18426,5.26049
-0.24621,14.57012,4.84401
-0.35898,14.14253,4.79566
-0.23047,14.65088,4.63540
-0.20186,14.76617,4.83133
0.06571,14.32837,5.22057
-0.31013,14.65178,4.36662
-0.15172,14.61818,4.78930
-0.10659,14.45393,4.85496
0.05201,14.38865,5.16248
-0.48758,14.59069,4.87880
-0.32639,14.66627,4.92020
-0.07227,14.55406,4.82723
0.02267,14.60207,4.77272
-0.20796,14.75006,4.93843
-0.09603,14.48678,4.63862
-0.08240,14.09796,4.89005
-0.06489,14.44599,4.87724
0.35517,14.48891,4.94880
-0.18735,14.61340,5.16177
-0.29776,14.38999,5.07789
0.00945,14.30224,4.79230
0.02395,14.83803,4.85209
0.03257,14.63483,4.55667
-0.30282,14.31031,4.95520
-0.02073,14.64208,4.86442
-0.20324,14.76668,4.82961
0.15610,14.86159,4.92832
-0.08287,14.42673,4.69597
0.03569,14.54206,4.82995
-0.31121,14.74719,4.71097
-0.16290,14.55440,4.88797
0.42163,14.71862,4.38929
0.02754,14.58690,4.54901
-0.00409,14.36249,4.73429
0.06675,14.40642,4.72224
0.14295,14.52995,4.83312
-0.19053,14.64325,4.65651
-0.16894,14.44322,4.64940
0.32668,14.97001,4.75345
-0.32797,14.60360,4.68731
